Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
6,Rocket attack,3,4,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Maidan, Afghanistan",Two women and a child were killed in a rocket attack.[21],Taliban,War in Afghanistan
7,Attempted suicide bombings,0,0 (+1),"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Borno, Nigeria",Two attempted suicide attack were foiled. The two attackers were arrested.[22],Boko Haram,Boko Haram insurgency
7,Shooting,2,Unknown,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Damaturu, Nigeria",A security personnel and a civilian were killed in a Boko Haram attack.[23],Boko Haram,Boko Haram insurgency
7,Bombing,1,0,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Farah, Afghanistan",An Afghan district governor was killed in an explosion in Farah province.[24],Taliban,War in Afghanistan
7,Suicide bombing,22 (+1),41,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan",February 2017 Afghanistan's Supreme Court in Kabul attack: At least 22 people were killed and 41 wounded in a suicide blast at Afghanistan's Supreme Court in Kabul.[25] The Islamic State claimed responsibility.[26],Islamic State – Khorasan Province,War in Afghanistan
7,Executions,15,0,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq",The Islamic State executed fifteen civilians in a village north of Mosul.[27],Islamic State,Iraqi Civil War
8,Assassination,1,0,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Donetsk, Ukraine",A leader of a separatist battalion Mikhail Tolstykh was killed by the explosion of a bomb in his office.[28],Ukrainian anarchists,War in Donbass
8,Shooting,6,0,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Qushtipa, Afghanistan",The Islamic State killed six local employees of the International Committee of the Red Cross.[26],Islamic State – Khorasan Province,War in Afghanistan
8,Shooting,4 (+2),Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Bosaso, Somalia",Islamic State militants attacked an hotel in Bosaso. Four people were killed.[29],Islamic State,War in Somalia
8,Executions,27,0,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq",The Islamic State executed twenty civilians by burning them for alleged collaboration with Iraqi security forces. Seven Islamic State fighters were also executed for desertion.[30],Islamic State,Iraqi Civil War
8,Airstrikes,1,19,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq",One person was killed and nineteen were wounded by Islamic State drone strikes.[31],Islamic State,Iraqi Civil War
8,Rocket attacks,0,5,"&lt;img alt=""Israel"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png"" width=""21"" height=""15"" class=""thumbborder"" data-file-width=""660"" data-file-height=""480""&gt; Eilat, Israel","ISIS claimed responsibility for four rockets were fired from Egypt towards Eilat, causing damage to local buildings.[32][33]",Islamic State – Sinai Province,Spillover of the Sinai insurgency
8,Bombing,2,2,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Ramadi, Iraq","A roadside bomb blast killed two Iraqi troops in western Iraq on Wednesday, according to a military officer. The explosion struck as a military vehicle was passing on a highway in western Ramadi, the provincial capital of Anbar province.[34]",Islamic State (suspected),Iraqi Civil War (2014–present)
