Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
2,Bombing,1,1,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",One Iraqi army soldier was killed and another was wounded on Friday when an explosive device went off in western Baghdad.[11],Islamic State,Iraqi Civil War
3,Attempted Assassination,0,1,"&lt;img alt=""Mexico"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/23px-Flag_of_Mexico.svg.png"" width=""23"" height=""13"" class=""thumbborder"" data-file-width=""840"" data-file-height=""480""&gt; Oaxaca, Mexico","The indigenous speaker and activist, Marcela de Jesús Natalia, was shot in the municipal head of Ometepec, in the Costa Chica region of the entity.[12]",Los Zetas (suspected),Mexican Drug War
3,Suicide bombings,20 (+3),118,"&lt;img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan","June 2017 Kabul attack: After recent terrorist incidents in Kabul, funerals were held for the victims. One funeral, for the son of a member of the Afghanistan Assembly, was targeted by several explosions. At least 20 people have been reportedly killed, and many others have been injured.[13]",Taliban (suspected),War in Afghanistan
3,Bombing,2,4,"&lt;img alt=""Algeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Tébessa Province, Algeria",Two soldiers were killed and four others wounded in the explosion of a bomb in the Bir El-Ater region in the province of Tebessa.[14],Al-Qaeda in the Islamic Maghreb (suspected),Insurgency in the Maghreb
3,Shooting,5,0,"&lt;img alt=""Burkina Faso"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/23px-Flag_of_Burkina_Faso.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Soum Province, Burkina Faso","Five people, including three from the same family, were killed on Friday night in three localities of the Soum in different shootings.[15]",Ansar ul Islam,Insurgency in the Maghreb
3,Shooting,1,2,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Diyala Province, Iraq","One soldier was killed, while two others were wounded due to an attack launched by Islamic State militants against checkpoint located east of Abu Saida town in Diyala province.[16]",Islamic State,Iraqi Civil War
3,"Vehicular attack, Stabbing",8 (+3),48,"&lt;img alt=""United Kingdom"" src=""//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""600""&gt; London, United Kingdom","June 2017 London attack: A van ran over multiple pedestrians on the London Bridge. The men then drove to Borough Market, where they stabbed multiple people before being shot by police. 8 persons were killed and 48 were injured.[17][18]",Islamic State,Islamic terrorism in Europe
4,Shooting,6 (+2),1,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kandahar Province, Afghanistan",Afghan officials said at least six police officers have been killed after two fellow police opened fire on them in southern Kandahar province. A Taliban spokesman claimed responsibility for the attack in a statement.[19],Taliban,War in Afghanistan
4,Shooting,2,0,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Quetta, Pakistan",Two Hazara people were killed in Quetta.[20],Islamic State (suspected),War in North-West Pakistan
5,Shelling,1,4,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",Five members of one family were killed and injured as a mortar shell fell on their house in western Baghdad.[21],Islamic State,Iraqi Civil War
5,Bombing,3,20,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Kismayo, Somalia",Three were killed and twenty wounded after a grenade exploded inside a police station in the town of Kismayo. Police blame Al Shabaab for the attack.[22],Al Shabaab,War in Somalia
5,"Hostage taking, Shooting",1 (+1),3,"&lt;img alt=""Australia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/23px-Flag_of_Australia.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1280"" data-file-height=""640""&gt; Melbourne, Australia","June 2017 Melbourne attack: An Islamic State of Iraq and the Levant (ISIS)-inspired terrorist, Yacqub Khayre, killed a man and took a woman hostage before he was shot dead by police following a siege. During the course of the siege three police officers were wounded. Khayre was acquitted in 2011 of involvement in the Holsworthy Barracks terror plot, but was jailed in 2012[23] over a home invasion and released in November 2016 on parole.[24]",Islamic State (suspected),Terrorism in Australia
5,Shooting,1,10,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Odisha, India",A jawan was killed and 10 others were injured on Monday in a Maoist ambush in Odisha. The attack reportedly happened when personnel belonging to the Special Operation Group were returning to their base camp after completing a combing operation.[25][26],Naxals,Naxalite–Maoist insurgency
6,Bombing,10,16,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Herat, Afghanistan","2017 Herat bombing: At least seven civilians were killed and 15 more wounded in a bomb blast outside the historic Jama Masjid of Herat, in the western and relatively calm province of Herat.[27]",Taliban (suspected),War in Afghanistan
6,Melee attack,0,1 (+1),"&lt;img alt=""France"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Paris, France","2017 Notre Dame attack: A police officer who was outside Notre-Dame Cathedral was injured after he was attacked by a man with a hammer, who was then shot by police.[28]",Lone wolf,Islamic terrorism in Europe
6,Shooting,2,0,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; North Sinai Governorate, Egypt",Two police officers were killed in a shootout with gunmen who probably belonged to Islamic State in Egypt's northern Sinai.[29],Islamic State,Sinai insurgency
6,Shooting,1,1,"&lt;img alt=""Kenya"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/23px-Flag_of_Kenya.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mandera, Kenya",One person was killed and another injured after a vehicle they travelling in was shot at in Mandera North Sub-County.[30],Al-Shabaab,Spillover of the War in Somalia
